"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Jul-2024","EQ","1,063.05","1,149.70","1,040.05","1,050.15","1,044.50","1,051.95","1,083.77","1,250.00","686.00","81,82,577","8,86,80,03,002.45","1,99,830"
"25-Jul-2024","EQ","1,030.20","1,060.05","1,025.05","1,036.20","1,057.80","1,050.15","1,043.68","1,250.00","686.00","11,44,067","1,19,40,38,389.80","38,504"
"24-Jul-2024","EQ","1,025.90","1,047.00","1,022.00","1,023.80","1,040.00","1,036.20","1,038.22","1,250.00","686.00","9,28,518","96,40,05,198.50","32,632"
"23-Jul-2024","EQ","1,010.10","1,033.20","975.00","1,011.05","1,023.00","1,023.80","1,015.12","1,250.00","686.00","14,23,981","1,44,55,07,130.55","53,362"
"22-Jul-2024","EQ","1,004.95","1,015.30","982.50","1,010.70","1,009.95","1,011.05","1,004.52","1,250.00","686.00","7,88,623","79,21,85,769.50","24,867"
"19-Jul-2024","EQ","1,008.00","1,020.25","1,001.55","1,010.45","1,010.00","1,010.70","1,011.80","1,250.00","686.00","8,84,638","89,50,79,991.80","26,160"
"18-Jul-2024","EQ","1,021.95","1,025.00","1,007.30","1,022.25","1,010.05","1,010.45","1,012.09","1,250.00","686.00","6,25,350","63,29,08,376.15","15,981"
"16-Jul-2024","EQ","1,024.05","1,047.95","1,018.50","1,013.30","1,023.10","1,022.25","1,033.40","1,250.00","686.00","11,49,453","1,18,78,39,539.30","40,210"
"15-Jul-2024","EQ","1,006.50","1,025.15","998.50","1,004.80","1,015.00","1,013.30","1,014.86","1,250.00","686.00","9,72,014","98,64,60,725.55","30,440"
"12-Jul-2024","EQ","1,005.00","1,010.60","1,000.00","1,001.20","1,003.00","1,004.80","1,005.00","1,250.00","686.00","4,78,408","48,07,98,699.20","18,977"
"11-Jul-2024","EQ","1,002.90","1,010.90","998.50","1,003.25","1,003.00","1,001.20","1,003.81","1,250.00","686.00","3,81,605","38,30,57,555.50","13,715"
"10-Jul-2024","EQ","1,004.75","1,013.95","985.40","1,003.45","1,003.00","1,003.25","999.78","1,250.00","686.00","6,40,805","64,06,63,715.40","22,400"
"09-Jul-2024","EQ","1,005.75","1,033.20","1,000.00","998.40","1,007.50","1,003.45","1,015.13","1,250.00","686.00","9,01,166","91,48,00,556.55","30,584"
"08-Jul-2024","EQ","1,010.00","1,019.95","994.70","1,012.65","999.55","998.40","1,003.10","1,250.00","686.00","7,57,659","76,00,09,635.00","27,387"
"05-Jul-2024","EQ","1,025.80","1,025.80","1,010.00","1,025.85","1,014.85","1,012.65","1,017.89","1,250.00","686.00","6,59,996","67,18,01,169.05","25,138"
"04-Jul-2024","EQ","1,036.00","1,047.95","1,020.10","1,035.20","1,024.00","1,025.85","1,034.50","1,250.00","686.00","8,25,442","85,39,20,748.45","26,349"
"03-Jul-2024","EQ","1,034.95","1,040.00","1,020.00","1,024.75","1,036.95","1,035.20","1,029.50","1,250.00","686.00","9,70,351","99,89,72,560.05","27,762"
"02-Jul-2024","EQ","1,005.00","1,063.35","1,000.40","999.20","1,023.35","1,024.75","1,035.40","1,250.00","686.00","27,38,036","2,83,49,61,236.90","77,950"
"01-Jul-2024","EQ","1,003.65","1,007.85","996.05","997.35","997.00","999.20","1,001.06","1,250.00","686.00","4,72,079","47,25,78,891.70","16,624"
